,us_state,county,days_with_aqi2019,good_days2019,moderate_days2019,unhealthy_sensitive_days2019,unhealthy_days2019,very_unhealthy_days2019,hazardous_days2019,days_co2019,days_no2_2019,days_ozone2019,days_so2_2019,days_pm2_2019,days_pm10_2019,poverty_percentage2019,days_with_aqi2018,good_days2018,moderate_days2018,unhealthy_sensitive_days2018,unhealthy_days2018,very_unhealthy_days2018,hazardous_days2018,days_co2018,days_no2_2018,days_ozone2018,days_so2_2018,days_pm2_2018,days_pm10_2018,poverty_percentage2018,days_with_aqi2017,good_days2017,moderate_days2017,unhealthy_sensitive_days2017,unhealthy_days2017,very_unhealthy_days2017,hazardous_days2017,days_co2017,days_no2_2017,days_ozone2017,days_so2_2017,days_pm2_2017,days_pm10_2017,poverty_percentage2017,days_with_aqi2016,good_days2016,moderate_days2016,unhealthy_sensitive_days2016,unhealthy_days2016,very_unhealthy_days2016,hazardous_days2016,days_co2016,days_no2_2016,days_ozone2016,days_so2_2016,days_pm2_2016,days_pm10_2016,poverty_percentage2016,average_aqi_days,average_good_days,average_moderate_days,average_unhealthy_sensitive_days,average_unhealthy_days,average_very_unhealthy_days,average_hazardous_days,average_co_days,average_no2_days,average_ozone_days,average_so2_days,average_pm2_days,average_pm10_days,average_poverty_percentage,percent_pop_per_100k,cancer_classification
229,ID,Latah,350,350,0,0,0,0,0,0,0,0,0,350,0,11.7,365,339,20,5,1,0,0,0,0,0,0,365,0,12.7,350,321,18,5,4,2,0,0,0,0,0,350,0,16.5,270,268,2,0,0,0,0,0,0,0,0,270,0,17.6,333.75,319.5,10,2.5,1.25,0.5,0,0,0,0,0,333.75,0,14.625,9.573958832,low
230,ID,Lemhi,360,269,87,4,0,0,0,0,0,0,0,360,0,13.5,360,260,97,3,0,0,0,0,0,0,0,360,0,14.7,358,242,85,23,8,0,0,0,0,0,0,358,0,16.1,364,230,105,26,3,0,0,0,0,0,0,364,0,17.7,360.5,250.25,93.5,14,2.75,0,0,0,0,0,0,360.5,0,15.5,17.55110469,low
231,ID,Nez Perce,360,309,51,0,0,0,0,0,0,0,0,360,0,11.1,365,308,52,4,1,0,0,0,0,0,0,365,0,13.3,365,287,63,6,6,3,0,0,0,0,0,365,0,12.01,366,328,36,2,0,0,0,0,0,0,0,366,0,14.9,364,308,50.5,3,1.75,0.75,0,0,0,0,0,364,0,12.8275,18.48539654,medium
232,ID,Shoshone,365,260,102,3,0,0,0,0,0,0,0,353,12,19.1,365,217,135,12,1,0,0,0,0,0,0,358,7,18.8,365,220,120,19,3,3,0,0,0,0,0,360,5,17.4,366,245,116,5,0,0,0,0,0,0,0,364,2,18.9,365.25,235.5,118.25,9.75,1,0.75,0,0,0,0,0,358.75,6.5,18.55,27.18912435,medium
233,ID,Twin Falls,365,361,4,0,0,0,0,0,0,0,0,365,0,11.01,355,313,37,3,2,0,0,0,0,0,0,355,0,13.6,288,220,62,5,1,0,0,0,0,0,0,288,0,13.5,352,348,4,0,0,0,0,0,0,0,0,352,0,14.5,340,310.5,26.75,2,0.75,0,0,0,0,0,0,340,0,13.1525,10.57869848,low
234,ID,Valley,357,290,67,0,0,0,0,0,0,0,0,357,0,8.8,353,297,54,2,0,0,0,0,0,0,0,353,0,8.4,362,273,77,6,6,0,0,0,0,0,0,362,0,8.5,348,327,21,0,0,0,0,0,0,0,0,348,0,9.6,355,296.75,54.75,2,1.5,0,0,0,0,0,0,355,0,8.825,12.26751088,low
235,IL,Adams,241,208,33,0,0,0,0,0,0,241,0,0,0,12.3,245,228,17,0,0,0,0,0,0,245,0,0,0,12.3,244,213,30,1,0,0,0,0,0,244,0,0,0,13.5,214,199,15,0,0,0,0,0,0,214,0,0,0,12.8,236,212,23.75,0.25,0,0,0,0,0,236,0,0,0,12.725,19.97324904,medium
236,IL,Champaign,365,281,84,0,0,0,0,0,0,235,0,130,0,19.9,365,283,78,4,0,0,0,0,0,222,0,143,0,19.2,365,286,78,1,0,0,0,0,0,248,0,117,0,19.2,366,302,64,0,0,0,0,0,0,265,0,101,0,18.9,365.25,288,76,1.25,0,0,0,0,0,242.5,0,122.75,0,19.3,9.52389165,low
237,IL,Clark,327,314,13,0,0,0,0,0,0,327,0,0,0,10.8,359,337,21,1,0,0,0,0,0,359,0,0,0,11.1,241,211,29,1,0,0,0,0,0,241,0,0,0,11.01,203,175,27,1,0,0,0,0,0,203,0,0,0,12.01,282.5,259.25,22.5,0.75,0,0,0,0,0,282.5,0,0,0,11.23,20.8335948,medium
238,IL,Cook,365,150,206,9,0,0,0,0,26,91,0,238,10,13.01,365,152,194,15,4,0,0,0,48,120,0,189,8,13.8,365,184,162,18,1,0,0,0,34,162,0,164,5,14.6,366,179,169,16,2,0,0,0,59,132,0,160,15,15.01,365.25,166.25,182.75,14.5,1.75,0,0,0,41.75,126.25,0,187.75,9.5,14.105,12.59497533,low
239,IL,DuPage,352,257,92,2,1,0,0,0,0,172,0,180,0,6.01,361,231,126,4,0,0,0,0,0,135,0,226,0,6.6,311,237,72,2,0,0,0,0,0,207,0,104,0,6.2,241,194,38,9,0,0,0,0,0,178,0,63,0,7.01,316.25,229.75,82,4.25,0.25,0,0,0,0,173,0,143.25,0,6.455,11.58140678,low
240,IL,Effingham,245,224,21,0,0,0,0,0,0,245,0,0,0,9.2,245,214,30,1,0,0,0,0,0,245,0,0,0,9.7,244,206,35,3,0,0,0,0,0,244,0,0,0,9.7,214,181,33,0,0,0,0,0,0,214,0,0,0,10.9,237,206.25,29.75,1,0,0,0,0,0,237,0,0,0,9.875,16.85432711,low
241,IL,Hamilton,344,269,74,1,0,0,0,0,0,198,0,146,0,12.7,362,284,75,3,0,0,0,0,0,170,0,192,0,12.3,365,290,75,0,0,0,0,0,0,191,0,174,0,12.9,285,227,58,0,0,0,0,0,0,170,0,115,0,14.4,339,267.5,70.5,1,0,0,0,0,0,182.25,0,156.75,0,13.075,26.15645435,medium
